"buyPrice","sellVolume","sellMovingWeek","productId","sellOrders","buyOrders","sellPrice","buyVolume","buyMovingWeek"
"669.988645","2461611","1678956","ENCHANTED_RED_MUSHROOM","134","171","617.06867","629373","1015992"
"7988.684523","4105645","540894","ENCHANTED_RED_SAND","1553","636","4569.718693","178201","468240"
"1374904.7","458953","1474","ENCHANTED_RED_SAND_CUBE","54","69","555085.06856","277","1559"
"258.992228","3652041","11462247","ENCHANTED_REDSTONE","246","926","223.803256","1895402","6929039"
"41115.111319","933679","349349","ENCHANTED_REDSTONE_BLOCK","513","541","32612.496051","45989","254088"
"68912.2","146340","5719","ENCHANTED_REDSTONE_LAMP","242","21","53850.692859","2775","5994"
"807.273571","944910","7545548","ENCHANTED_ROTTEN_FLESH","133","2553","654.647487","2840227","4819068"
"744.408503","1866351","1387531","ENCHANTED_SAND","276","370","593.045209","222799","1270326"
"80.22406","5531425","2676932","ENCHANTED_SEEDS","196","324","70.2","305216","240716"
"94679.540741","39292","2856","ENCHANTED_SHARK_FIN","58","126","64706.568434","20399","4839"
"849.770748","2304678","3568127","ENCHANTED_SLIME_BALL","177","1188","779.556367","1814205","2982598"
"133151.447607","362300","24375","ENCHANTED_SLIME_BLOCK","317","121","6363.152744","19181","15295"
"436943.961045","1300076","130985672","ENCHANTED_SNOW_BLOCK","75","1412","586.766416","9371727","16529896"
"951.799959","1526855","5699037","ENCHANTED_SPIDER_EYE","98","1868","771.493543","1975563","1990123"
"2039.97111","2680203","1272958","ENCHANTED_SPONGE","241","794","1939.731432","231750","176584"
"1313.452397","2177348","2158215","ENCHANTED_SPRUCE_LOG","194","1971","1029.018077","1634848","2141059"
"1014.452335","290309","11984802","ENCHANTED_STRING","44","2585","965.503487","2138318","3831780"
"344.877487","8043718","17110350","ENCHANTED_SUGAR","180","397","317.986068","344949","1738344"
"53252.952632","991832","402615","ENCHANTED_SUGAR_CANE","367","91","51269.386774","11997","377034"
"8792.79416","2772604","1002934","ENCHANTED_SULPHUR","382","3189","4331.394306","1087526","866137"
"1511750.35","177912","2112","ENCHANTED_SULPHUR_CUBE","74","72","173602.685308","516","2258"
"9098.057279","40854","473464","ENCHANTED_TITANIUM","87","141","8378.587338","47305","535602"
"21942.256883","116249","45792","ENCHANTED_WATER_LILY","56","308","16001","227936","64352"
"83423.1","368401","16274","ENCHANTED_WET_SPONGE","483","156","75224.68199","14325","10315"
"225999.5","17188","3592","END_STONE_SHULKER","804","137","154024.983924","1057","3971"
"22727.485012","66580","64053","ENDER_MONOCLE","894","2145","10253.918857","19777","64885"
"534888.217104","3944086","206595696","ENDER_PEARL","105","3104","5.23616","54387709","17848343"
"4.680139","1131213","13997518","ENDER_STONE","32","522","2.3","2285899","6620546"
"6732.364615","12690","1739","ENDSTONE_GEODE","115","686","1197.661739","6414","1251"
"36.9","3519990","1060940","EXP_BOTTLE","219","202","25.971803","771347","1439665"
"5","1608236","8022045","FEATHER","39","30","2.1","209758","4423259"
"23697.150496","751870","85393","FINE_AMBER_GEM","163","156","6655.842553","41538","82546"
"23349.610522","464992","137827","FINE_AMETHYST_GEM","196","436","13917.143973","107028","106880"
"19234.106952","2663220","226044","FINE_JADE_GEM","623","397","15043.173069","220893","107129"
"54388.488705","1045546","101309","FINE_JASPER_GEM","427","74","17648.458993","7961","114074"
"26999.859756","633774","30843","FINE_OPAL_GEM","457","56","22192.182698","1744","14309"
"19698.382798","4805954","162187","FINE_RUBY_GEM","522","257","12024.029378","73889","164214"
"23408.976418","985948","189593","FINE_SAPPHIRE_GEM","66","460","8794.820942","223203","181550"
"22498.577289","918514","221713","FINE_TOPAZ_GEM","341","135","13054.017811","65606","157639"
"95.93197","4832804","8357437","FISH_BAIT","235","2060","64.31933","3798866","10310483"
